time,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,cfg0_x,cfg0_y,cfg0_z,cfg1_x,cfg1_y,cfg1_z,cfg2_x,cfg2_y,cfg2_z,cfg3_x,cfg3_y,cfg3_z,cfg4_x,cfg4_y,cfg4_z,cfg5_x,cfg5_y,cfg5_z
2.0451,0.0537602,0,0.235549,0,0,0,-0.240226,1.35047,1.20965,0.0490565,0.819904,0.87869,-0.203297,1.33407,1.29059,0.187822,0.802715,0.916645,-0.240226,1.35047,1.20965,0.040087,0.803188,0.813535
2.05505,0.0547038,0,0.235471,0,0,0,-0.242626,1.35004,1.20934,0.0501052,0.818754,0.879649,-0.205517,1.33358,1.29122,0.191208,0.801965,0.918893,-0.242626,1.35004,1.20934,0.0405201,0.801812,0.813443
2.06513,0.0556488,0,0.235393,0,0,0,-0.245024,1.34962,1.20904,0.051155,0.817713,0.880704,-0.207733,1.3331,1.29184,0.194598,0.801328,0.921247,-0.245024,1.34962,1.20904,0.0409537,0.800543,0.813447
2.07502,0.056595,0,0.235314,0,0,0,-0.247421,1.34919,1.20875,0.0522058,0.816778,0.881855,-0.209947,1.33262,1.29248,0.197991,0.800806,0.923704,-0.247421,1.34919,1.20875,0.0413876,0.799381,0.813544
2.08517,0.0575421,0,0.235236,0,0,0,-0.249816,1.34876,1.20846,0.0532572,0.815952,0.883102,-0.212157,1.33215,1.29312,0.201388,0.800397,0.926265,-0.249816,1.34876,1.20846,0.0418219,0.798327,0.813737
2.09518,0.0584899,0,0.235157,0,0,0,-0.25221,1.34832,1.20818,0.0543092,0.815232,0.884443,-0.214365,1.33167,1.29377,0.204788,0.800102,0.928929,-0.25221,1.34832,1.20818,0.0422563,0.797381,0.814024
2.1051,0.0594382,0,0.235079,0,0,0,-0.254602,1.34789,1.2079,0.0553614,0.81462,0.88588,-0.216569,1.3312,1.29442,0.208188,0.799921,0.931694,-0.254602,1.34789,1.2079,0.0426907,0.796542,0.814405
2.11507,0.0603867,0,0.235,0,0,0,-0.256992,1.34745,1.20763,0.0564138,0.814116,0.88741,-0.21877,1.33073,1.29509,0.21159,0.799853,0.934562,-0.256992,1.34745,1.20763,0.0431252,0.795812,0.81488
2.12508,0.0613352,0,0.234922,0,0,0,-0.25938,1.34702,1.20736,0.057466,0.813719,0.889034,-0.220968,1.33026,1.29575,0.214992,0.7999,0.93753,-0.25938,1.34702,1.20736,0.0435597,0.79519,0.815449
2.13504,0.0622835,0,0.234843,0,0,0,-0.261767,1.34658,1.2071,0.0585178,0.81343,0.890752,-0.223163,1.32979,1.29643,0.218394,0.800059,0.940597,-0.261767,1.34658,1.2071,0.0439939,0.794676,0.816111
2.14506,0.0632313,0,0.234765,0,0,0,-0.264152,1.34614,1.20684,0.0595692,0.813248,0.892562,-0.225355,1.32932,1.29711,0.221795,0.800332,0.943765,-0.264152,1.34614,1.20684,0.0444279,0.79427,0.816867
2.15496,0.0641784,0,0.234686,0,0,0,-0.266535,1.34569,1.20659,0.0606197,0.813173,0.894465,-0.227544,1.32886,1.2978,0.225194,0.800718,0.947031,-0.266535,1.34569,1.20659,0.0448615,0.793973,0.817717
